Label,Text
0,I ate a foot long from subway like an hour ago! OMG! I`m happy and full. I hadn`t ate since b-fast.  happy Lis.
2,"is watching big brothes big quiz    ,       rather tiredd    , but downloading a dvd so have to wait till finished till i can go to bed"
1, the pink straw also makes you manly
2,Spent too much today!!! Tube journeys always take soo long. Braces on thursdayyy
1, I was trying to back all her documents up but it wasn`t playing along. its taking forever but am back at it again now
2,... Still feelin like blah... 3 more hours
1,about to start getting ready for work.  took lexi out to the park earlier! wish i could lay around ALL day.
1,is closing at 10 instead of 12 yay!!  just 15 min till i can go home and talk to my lovebug!!
2,I miss him  ARGH
0, Aw how come ur up so early? love ur youtube vids btw
2, sorry my friend ... but  is paying the mortgage!
0, Haha  i like you default picture.     Meow.
2, This definitely separates a professional robber & from an amateur one!
2,*sigh* Off 2 bed 2 try 2 get these crummy 2 hrs of sleep b4 my horrid 12 hour day..smh. Niterzzz evry1. Don`t let the twitterbugz bite..
2,Life Just Isn`t Fair > And I Feel
0,"Big Laptop is too big, so it`s time to switch to the Eee.  Bye big guy"
2,watching chicago.  honeyyyy im with you I miss me some hey arnold! and wild thornberrys
1,Can not afford the DR this year. I just can`t pull it off this time.
1,causee not everyone can pass the challenge test duh
0, 'If there`s a camel up a hill' and 'I`ll give you plankton' ....HILARIOUS!!
2," I got a coupon, but I couldn`t register it because you have to be in the US"
0," I don`t use it, but I heard that PowerShell is nice"
0,Wrestlefest was fun! Now tune into www.latalkradio.com from 2-3 sunday and chat with me
0," lol thanx, me too!"
2,I shrunk my favourite cardigan.  Hubby said he`d buy me a new one. I practically lived in it and it`s gone. I shall say a few words ;)
2," It felt nice, but staying outside for too long and your definitely getting burned! Hurricane season is here though"
1,_cowan oh cool!  I`m gonna crash and sleep. I have been like 40 some hours working lol
2,"_Beez - I`m 20% hetero-challenged, but still didn`t care for 'Milk'... I thought it was boring."
0, You too - hope your day was good!
2, the straightener`s another 110 pounds though. Seems pricey
1, yeah i did  i remember it na....... i did watch it before )
2,sadly  brother told me there are no skateparks where he lives. BUMMER!
2, now you`re scaring me.... can`t you just be mad? Don`t jip the world of your presence
1,change of plans. won`t be seeing Up today.
0,  He`s awesome... Have you worked with him before? He`s a good friend.
0,"facebook quizzes are one cure of boredom haha, my teeth/mouth hurts"
1," It`s allright pastor, jiayou for the book!!"
2, me too baby... Miss you
1,About to take a shower. Then see how annas doing
2,Ugggh school is so boring! I cant wait for this year to be over. So stressed -.= i shoulda stayed home today....
1,i got a freakin macbook!!!!! hoorayyy! but i freakin deleted phootbooth.
2,Sometimes black girls just piss me off like a ****!
2,"missed all the awesome weather, because she was in a movie!"
2," And these poor, unfortunate souls don`t appear to have any pants at all...  ? http://blip.fm/~78qvz"
0,"  you two are hilaaaaarious, I love it. Vernae where have you been  ?"
2,"But now talking about today, Oh my GODNESS! Problems, problems, problems. about love, money, math, parents.....that`s enough, isn`****?"
2, ahh when i was there it was closed
1, uh oh u gonna fire somebody??
2,_marie:my heart goes out to you
1,"Trying to sleep, watching CNN and thinking about todays meeting at work...Best Buy 24/7 in my life, oh well.. whatever pays the alcohol"
0,Scrubs tonight (8.00pm). woo!
2,"is wondering what actually to do, when I have a week to do **** all bar pack, most peeps r leavin too"
1,"I`m loving the fact that there is tension on the set of Iron Man 2, poor Gwenyth can`t handle being in Scarlett`s shadow"
2, oh no fair.... thats in 9 hours
2," If they recorded it and sent it to people, they obviously meant for it to get out there.  But if they didn`t, I feel bad."
1, I know - but there are loads of others left
0," he has been really brave but this is the best thing to do - now he can rest and get better. Get well soon, Alexi"
0, hello  I`m up late playing on the internet. I love you!
1,is school over yet? Im ready for vacations already
0, one thing is good enough for me. friendship retained!
2, i misss youhhhhhhh ci! Tell dem japenese ppl to give yu a computer or sumthinnn. Ya twit fam misssesss supa c!
0,"I don`t dig emo **** or that, but I like this song sorry emo`s  ? http://blip.fm/~5jg0u"
0, nice clutch
0,"Nine o`clock on a Sunday morning - Outside, sat around the table enjoying the early rays of sun, reading Twitter article in Sunday Times"
0,Had fun 2nite...i was pleasantly surprised
1, I will take a pic for you
2,goodness gracious my chair broke
0," hee hee - btw thanks for your LinkedIn tips - i`ve still to use them, but thanks in advance"
2,When it rains it pours. Life sucks
0,Morning.. Coffee and fresh air
1,"yeah one burrito did not taste like the other, there was no avocado ranch sauce"
1, Good morning David! Happy Mother`s Day to your mom lol. Too bad u can`t be with her. She is so awesome!
0,At the wedding reception. Having more fun than I thought
1,2moro is the end of my stay  to bad shes in NY Then off 2Ft Laud 4a weddin Florida is fun but i miss Home and Spike(car) lol
1, yeah I`m fine not to raid most things. Excepting liquor and cheese & bacon balls
0,2pm today is Quiz Time at the Goat! Game shows to play and prizes to be won! Plus `Toss Off Tommy` for free drinks! Today from 2! x
0," hehe, I can almost hear out of my right ear now  Can you yet?"
1," Headaches suck, especially stress related ones. I used to get those a lot.  <3"
1, ... same to you!
0,Good morning guys!  Dont forget: Today is mothers day! Mommy? I LOVE YOU ! Youï¿½re the best <3
0, Thank you - If you like please leave a comment and Subscribe!   Chicago another great musical.  Thanks for your support.
0,The best thing I have ever done is carry and birth a child
2, Nite. Now I`m up n bored as opposed to almost sleep frm b 4
2," dammit, no! one tweet from september, noodles is also taken"
0,what a beautiful day not to got to my first class
1,is playing restaurant city.
0, Quite a few. Peacocks and Oceanographer`s Choice are my new favorites to play
2,Good Morning Folks 13 more days to go! and sadly 2 more days of the Giro  but that means the Tour is not too far away
2,Oooh the hangover
2,**** being drunk and hot sucks
2,ARG! Eirtaku got hit by stupid bots. So much **** on a kid friendly site.
0,Back from x-men origins . Was surprisingly good
2,my thumb hurts after breaking the nail....
2, Awww mate. that`s such a shitter
1, Hott as Africa lol yeah its hot here too and its a big storm here
1,"I just watched 7 pounds, maaaannnnnnnnn!"
1,"Woken up finally after a long night out, tea, toast and TV coming up..."
2,wonder what white supremists have to say about this  I abhor racists. http://bit.ly/Rd31F
1,Chirstina said shes gunna twitter more ...no more partners
0,walking back 2 wk. Its a beautiful day. had 2 njoy it b4 it rains
2, I never liked that boy  Jerms!
1, im following because of   yaaaaaay conor!
2, my riding time has been dismal too during these rainy weeks.  haven`t been able to make myself to go to the gym instead.
2, mmm nandos is good (y) and topshop rules i am actually devastated that i cant come to to london show 'm8' bailed out
0,Wishing all the Mom`s in the world a VERY HAPPY AND RELAXING MOTHERS DAY. May you get to spend the day with your feet up being pampered
2,"meh, almost didn`t sleep, ain`t finished anything, I`m close to cancel the Dokomi"
0,wow the weather is amazing today!
0,Good Morning Every1!!! Its gorgeous out again n im stuck in work  Wish i was at home chillin out.. Hopefully tha day goes quick  doh !!
0," I see we are approaching a nice round 5500 number, I expect you will have crashed through that by the time I come back tonight"
2,"My guitar ain`t here yet?, feel like i lost a limb!."
0, thanks  glad you like it
1,"   Whether that`s good or bad, I can`t disagree with you there."
0,tonight in party w/ my girls (minus vita)
0,is getting her hair did shortly! and hoping everything is going well for her friend currently getting surgery!
2,Going to bed watching a bit of qi. Wake up tomorrow to face the start of my last summer in bath. Bit gutted atm to be home
1,  Who was it that said Vive le difference to me only the other day? ;-)
2,"EVIL CREDIT CARD COMPANIES!!  God, and just when I was starting to *build* my credit again - I get this stupid `ding` from them!"
1,Sweet booth at Newport... But all the people are outside  http://post.ly/hEb
0, i wish i could find my camera cause i really wanna record some too...
0, yep  but I`m going better now
0, hey that is pretty good sucking up - my daughter is exactly the same - glad to see I am not alone   Good luck mom
2,Back to reality... boo
1,Just downloaded parnoid
2,"I also think that I`m talking to myself now. Okay I need to get to bed. BTW, I miss my brothers."
0, awww wish I was there! Have a brew for me B!
2,awake sadly        seeing Leon today !
0, goodmorning/night to you too! sleep well
0,Wow.. TAGers ROCK!!!  Awesome performance
2, aw man im sorry! I have logical reasoning I promise! I had to study in order to tutor my new student! 4give me
2,RIP Robin from the Washington Park library
1,castlebar doesnt have 3d so im going to galway to see the jb 3d movie but that could be next week or the one after that
1," Keep it that long, people can ffwd if they like (now, if you did AAC w/ chapter markers..."
2, that sucks man
0, haha i agree ! i am her test dummy. i just go in and say 'do whatever you want' and i always love it.  she is magic!
0, you and  are both baitersss  hope tonight is fun!
0,Good day all. Let`s see what we can get accomplished today together.
2,listens to MSI and bakes banana bread. How weird is she? Remarkably not so much anymore.
1, I know but unfortunately I`m one of the fifteen bazillions of Americans without health insurance.  awesome
0," haha im jewish, i love that one"
0, I loved him and he was in a mini
2,Taking care of yucky stuff.
0,LOVES that lubbock is wet..its about time..no more strip runs
0, tell everybody i said happy mothers day!  love ya! #1 fan love you miley you rock
2," Think you should do a tour in England, we dont got to see any aweomse people !!"
0,"had the best mother`s day! breakfast, shopping and lunch, drinks, chocolate galore!"
2,Gotta work.  Lonely weekend ahead.
2,The fam back on the Big Island said the vog has been so bad that they can`t see the ocean. Sad!
0,wants to feel better
0, Sounds good. 'This patch was brought to you by ...'
0,_aguirre Now I wish I was going
2, you`re alive!!!!!!  Go w/ The Notebook...it`ll make you cry and stuff
1, I`ll be at the new movie showing at the franklin on Thursday night.  several of the SLA faculty will be in attendance.
2,Bubbletweet hates me
0, please wear glasses in your next video!  you look amazing in them.
2,Is still stuck in the office working!
1,@ Butlers watching Dr. Farmer rock out w/ the hispanic Jimmy Hendrix ... drinking Cosmos
2,just picked up her Blackberry from the middle of the street! Both she and it are crushed!
0," nice song, where did it come from ?"
2, I miss you
2,My Respect For Travis Clark Has Gone Down 7.5 Notches
1, ****. Now you have to cover the whole purse with those so it looks like a pattern.
0, are u planning on doing cardio for 1.5 hrs? If so that`s very reasonable  whatcha do last night?
2,*pokes and runs away* ... I WANT SUGAR !
0,And the Sun is shinning.........at last
1,has a good heart... or so says the doctor. Except that the doctor won`t be in until Tuesday afternoon to put that in writing....
2,"I can`t sleep, this is so darn frustrating."
0, when u gonna come show minnesota some love though hun?!
2,I`m suffering from restless legs and butt syndrome.
1,first trip home since diwali. But before that a couple of days in saddi dilli
0,I love the sunshine and the happiness it brings
2,"First impression of Silverlight: sadly, based on what I saw today, it`s quite problematic"
1,Hows that possible? No rain forecast for Pinkpop? And I have no ticket
1,oh thats hard-going. I`m writing a book at the moment so am motivating myself to press on with that.
1,__  that`s not good! hope you get better soon and good luck with the exams!
2,_lu I must be getting old and bent: that is the second thing you`ve said in the last couple of days that has not really been a turnon
0,Sending blessings out to 
1, What the hell Ross?! Where is Hugh Laurie! He was supposed to be on tonights show
2, just stop talking if ur gonna be that mean
0,"Going to body pump then yoga, then going to enjoy a lovely bbq with the family, loving the may day holiday"
0,the last song all american rejects.......... an amazing song
2, http://twitpic.com/5wb0k - what a mess. we`re missing the bra strap.
1,i need to speak with ! but i left my phone at home
2,is envious of people not in long-distance relationships...she`s all mushy with no one to cuddle.
2,Prom is so over rated!! Irritated... Going to bed goodnight
0,  Thank you and Happy Mothers Day to your Mother also SNL tonight
1,"Ever since Orchid quit drinking from a bottle, she`s been eating us out of house and home! Holy **** girl! Still not drinking milk though"
0,"Trying to put down some veggie soup, and watching Bride Wars while my body recovers.  Hope I`ll spring back tomorrow"
1, sweet .. Englands becoming lamer and lamer since you guys left
0,"Star Trek is awesome!! Kirk is hot, Spock is cool. It`s fun, cool and sexy. Definitely worth seeing. I saw it at the Cinerama."
2,Ok this is a lot more boring then I thought  and matt has me on lockdown bc of moolah...
0,lol i cant drink!!
1,Got the BrainBone daily question right!  - http://tinyurl.com/c9ryqc
2,"Change my hairstyle,but it isn`t good as it supposed to be N don`t wealth that much money..  hate that hairdresser~~"
0,May the 4th be with you all
0, aww thanx andy
2,I miss the old healthy me and I am loosing faith that I ever will be again
1,I guess it wasn`t meant for me to change it
2,So I passed out last night in the middle of 4th quarter. I didn`t witness my Magic lose
0, Thanks for the info
1, hello- i`d like a little chat- but can`t DM you- is there a mail id?
1,Damnation. I just woke up.
1,"sabi ko nga lighting up is hazardous to your health, but got shoes for it  thanks love"
1,Drinking bud light lime
2, laundry instead of sitting here. that darn laundry keeps mocking me.
2,I feel like my dream just got crushed
1,"  i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go."
0, Ohhhh! Ok! thought that I was going nuts!! Maybe they will pass through here on the way back!
0,"is almost done with the third/chapter cover page, yay"
1," if you register now, you`ll be able to buy in pre-presale next year. Saturday`s gonna be mayhem on internet, wake up early girl"
2,And I want you to shut the **** up.... I really hate living with my step dad. =-\ I can`t wait to move out...
0," thanks for viewing my portfolio www.wahliao.com  I`ll be updating it sometimes, will keep u updated."
2,back to work tomorrow  whose idea was it to go back on a saturday?!? Oh wait... that would be mine. FAIL.
0,says numbers are all good - all that`s left is the white blood cell count.  http://plurk.com/p/rqo8q
1,twitter has spam!!?? oh no
1,just downloaded the tweet deck....look at my and my saviness
1,Trying to figure out how to use Twitter.......I`m old
2,_Guy Just like me )))) No i must confess one dark side of me is that i can be sometimes stubborn + iï¿½m a little morning grouch
0," http://twitpic.com/3goxn - yes , everybody love you. i`m a german Fan. Follow me !"
0, oh cool i can`t wait!! yours are awesome!!!
2,Having asthma issues today.   BAH!
0, Yeah it was great to be outside without rain/snow & cold air! Love the sunny days
0,HAPPY MOMMA`s DAY ALL. HONOR YOUR MOMs  sign up for #maternalhealth  here`s for all mothers and luvin kids out there:  http://bit.ly/Bpekk
0," or, Green Day: boulevard of broken dream, Hinder: lips of an angel, Howie Day: collide - that was such a nice song"
2,My poor phone is nekkid without its cover.
2,  heheheheh... lol... I always figured he`d send them your way if he got any dupes... I felt bad not sending him stuff...
1,Make your own Google search page with your name   http://tinyurl.com/c4237j
1, haha. I know. And then I need a new car too. Oh ps I got a speeding ticket.
0,Cleaning all day today after he runs off to do his stuff and setting my schedule for the week.  I feel much better now and calmer too!
1,there`s only one more cherry dr. pepper left in the fridge...thank God. im addicted to that stuff but it does sad things to my skin.
1, wish you were on your way to Tampa! FL girls are missing ya!
2,"slightly burnt challah  The proof is in the eatin`, though..."
2, i`m about to have to hang up   my fone is getting to hot
0,    - Overwhelming lead for Strawberry Lemonade!!  My husband voted for Banana Fosters tho.
0,happy mother`s day!!!
1, thanks buddi and it`s no problem  your my friend  yah i should post more pics of London! nothing much really u?
1,Here`s  and  at our evening drink on Thursday night in London.  http://twitpic.com/4wrrp
1,http://twitpic.com/67jzp McFly concerts through the years [H]... Don`t have my `06 one though  :/
2,ahh! big scary bug flying around my room!!!!!
0,"_Deen   looks like a delicious recipe, will try that tonite"
2,LUCY IS HATING ON MY GWEG!
1,It`s such a romantic novel!! I cried in the end  Now I`m going to bed. I`m so tired.
0,Happy #juddday everybody!
2,My dad`s not feeling well. I want to make him soup. Suggestions guys? + get well soon ayah
0," good luck chan! gue kmrn bawa backpack kosong, quite helping"
2, apologies don`t fix hurt feelings kev.  anyway i`ll get it from u next time I c u.
2,I hate going online and looking at the balance in the bank.  its always a lot lower than I need it to be.
1,tonights a great night for sports. the yanks and lakers are both playing. i want to watch the games but im still scared to drink.
1, Oui mademoiselle. You can barely turn around these days without bumping into one.
0, Indeed. Thanks for sharing that! Now I can go to sleep giggling. Night!
2,Have decided I just can`t stand `s Alltop spam any longer.
0,Happy Mothers Day
2,"_Kill_Boy oh sorry! not getting all my replies  nothing against you. and yes, i do know nirvana"
0,Well goodnight all my twitter bugs sleep well
2,squirrel! where? i hate squirrels
2, daaammmnnnnn I do wish I was there.
0, Baking WIN! Thanks for that!
2, Oh no! Dead muffins ... how sad
1, I totally agree! And there`s no way to avoid it
1,"_x I`ve got my essay plan written out now  Looking for a couple of references, then I`ll get writing!"
0, its my birthday too  but its the 10th of may right now for me.. and its probably the 9th for you.. happy birthday anyway
2,"Tbh having no credit in your phone sux. i cant even text people to see what`s happening, like its totally grrrsville"
1,OMG I FINISHED MY HISTORY CHILDRENS BOOK!!!! JUST NEED 2 MAKE IT PRETTY AND PRINT IT OFF AND IM DONE!!! WHOO!!!
1, sorry I didn`t message you yet... I couldn`t get my thoughts straight. But tomorrow I`ll try  goodnight
1,Just found out a friend and his son fell down a 25ft shaft onto concrete today. They are alive at least. Don`t know much else.
0, thanks for the #followfriday as you can see us South Africans were on holiday on fri
1," Hahaha. No, I haven`t. I think I`ll reserve it for next weekend. Have some paperwork to do. Or maybe tonight!"
0, Fighter - Christina Aguilera. LOVE that song
0,Ahhhhhh I got stitches  I seriously cant wait to go to the beach! SUMMER HURRY UP!!!!!!
2,Ratings Army Wives  teary; Criminal Minds Yikes! Criminal Intent takes all sorts. real life news  horrifying ok me for bed nite all
0," Yay, three followers! Good to know more than one person in this big wide world likes fishies."
1, chale... a ver define 'out'
0,_ that is the truth.
1,oh my god!!! i cried so much!!! watch this guys from BGT  http://bit.ly/5t5Xz
2,"I don`t have MTV,. What am I going to DO?!! fmlllll"
0,It`s a beautiful nice day and I`m stuck inside!
2,Placed a $2 bet on a sure thing and lost.  no more betting for me!
2,i hate the biatches of this world
0,I feel I owe it to  to listen to her new albums (everything released after `Chains`) since she was nice to me on Twitter!!
1,i am listening this song 'shattered' by Tynisha keli   www.myspace.com/tynishakeli
0, happy birthday
2," missed you by 10 min, haha. went to sleep at 15 past, but had a major anxiety attack around 630 again. ugh.  boo"
1,"It`s this year. Can`t catch it, won`t be in NY till Oct 2010  http://bit.ly/AF8JT"
1,"what? you thought I did it all for mom of the year award? nope, tad bit more selfish than that:"
0,: I know!! Im so excited. We cant go earlierrr than the afternoon?  I love you tooz <3
2,"Sh t, I`m getting even more sad. I`m currently at the library and j think it`ll be the last one tooooo"
1, ur linky no worky
2,help! anyone know if there are stores that carry blackberry trackballs? just went to verizon retailer; no luck. do not want to order one
0,A friend is someone who will help you move. A real friend is someone who will help you move a body
2,  BUT THEY ARE EXPENSIVE.
1,_GiiGgl3z lmao ight im dun wit the faces lmao id rather see urs tho  lol
2," Ya, the weather has been super weird here. It looked like it was gonna rain today but of course it didn`t, darnitt,"
0,goodnight all in the twitterverse
2, wat the! you were in riverside??
2,Cannot sleep. 2+ hours of tossing and turning.
1,my school is like the only one thats NOT on vacation.
0,got it? good. HAPPY MOTHERS DAY!
0,I would LOVE to ride the superman right now...
2, well that propels people to change direction. No point wasting your days on something you lost the passion for.
0,hope your weekend was fabulous  do anything interesting?
2,not in the mood
0,"Why does #googledocs do folders, instead of labels like #gmail? I kind of like labels"
0,who watched X-men origins: wolverine? i totally loved it! haha
0, Happy Birthday! I hope you are doing well and had a great Birthday day
1,"so disappointed with human kind   'What`s wrong with the world?'  I have five girls in the garden, innocently enjoying the good weather..."
2,My room is too hot to sleep in.
2,dammit i cant watch stadium music
0," That`s awesome dude, yay for surprise celebrities!  I got to meet him a few years ago, he was soooo friendly."
1,_ Oh please mark all toe tweets with #toe.  is trying to make trening topic out of #toe
0,Twas a good show. I even liked Ciara`s last song.   Time for me to go to bed. G`night!
0," Haha. If you like him, then you should go"
0, Sounds like a good five days
2,"  ....what did she EVER do to piss them off?    I thought you just meant casting-related ****, not more of that ****."
0,I`m not sure why walking around in barnes and noble comforts me so much. O well now I`m off to work
2,I wanna leave after 2nd period *cryy*
1,_blache Night! Doze well.
1,learning for school now ...
1, heyy.  how are you?
0,Morning everyone! Hope you have a great Sunday!!
2," That`s true. Unfortunately, the leads in the movies don`t die on such a high note. It`s more the Friday The 13th model"
1,"wants to listen to musiq soulchild, but it is not on the iPod"
1, Nooooo get on now! Haha i`ll be gone later
0, that couldn`t be more true! I like ur momma`s style!
1,Me and mum are lost in grangemouth. Utter hilarity! Totally lost
